Akatore,Akatore
Alpine,Alpine: George to Jacksons
,Alpine: Jacksons to Kaniere
,Alpine: Kaniere to Springs Junction
Awatere,Awatere: Northeast 1
Awanui,Awanui
Cape Egmont,Cape Egmont: North
,Cape Egmont: Central
,Cape Egmont: South
Dunstan,Dunstan
Edgecumbe,Edgecumbe 1987
,Edgecumbe Coastal
Flaxmore - Waimea - Tahunanui,Flaxmore - Waimea - Tahunanui
Fox Peak,Fox Peak
Greendale,Greendale
Hope,Hope: Conway
Kaiapo,Kaiapo
Kekerengu,Kekerengu 1
Kerepehi,Kerepehi Awaiti
,Kerepehi Elstow
,Kerepehi Okoroire
,Kerepehi Te Poi
,Kerepehi Waitoa
Lees Valley,Lees Valley
Needles,Needles
Ohariu,Ohariu
Ostler,Ostler North
,Ostler South
Paeroa,Paeroa
Porters Pass,Porters Pass
Poutu,Poutu
Te Tatua o Wairere,Te Tatua o Wairere
Titri,Titri North
,Titri Central
,Titri South
Waihi,Waihi West
,Waihi South
Wairarapa,Wairarapa: 1
,Wairarapa: 2
,Wairarapa: 3
Wairau,Wairau
Wairoa North,Wairoa North
Wellington,Wellington Hutt Valley: 1
,Wellington Hutt Valley: 2
,Wellington Hutt Valley: 3
,Wellington Hutt Valley: 4
,Wellington Hutt Valley: 5
,Wellington: Pahiatua
Whangamoa,Whangamoa
White Creek,White Creek